"Metabolite","Comparison","W","p_value","Higher"
"Path391","IL vs H",74,0.932300503373326,"H"
"Path392","IL vs H",71,0.977402191293698,"IL"
"Path393","IL vs H",43,0.0957426592955982,"H"
"Path394","IL vs H",50,0.208863641169182,"H"
"Path395","IL vs H",144,7.39602301050679e-07,"IL"
"Path396","IL vs H",83,0.551167166391288,"IL"
"Path397","IL vs H",67,0.765165830277374,"H"
"Path398","IL vs H",66,0.359317338329571,"H"
"Path399","IL vs H",98,0.079391499053565,"IL"
"Path400","IL vs H",72.5,1,"H"
"Path401","IL vs H",71,0.977402191293698,"H"
"Path402","IL vs H",83,0.551167166391288,"IL"
"Path403","IL vs H",41.5,0.0809184321699101,"H"
"Path404","IL vs H",41.5,0.0809184321699101,"H"
"Path405","IL vs H",69,0.879361261036862,"H"
"Path406","IL vs H",108,0.00705410240068292,"IL"
"Path407","IL vs H",67,0.798745338656498,"H"
"Path408","IL vs H",59.5,0.286044781660782,"H"
"Path409","IL vs H",70,0.932300503373326,"H"
"Path410","IL vs H",116,0.0100445388505693,"IL"
"Path411","IL vs H",130,0.000371280355127441,"IL"
"Path412","IL vs H",99,0.12313340352663,"IL"
"Path413","IL vs H",71.5,1,"H"
"Path414","IL vs H",84,0.513722581093694,"IL"
"Path415","IL vs H",78,0.359317338329571,"H"
"Path416","IL vs H",72.5,1,"H"
"Path417","IL vs H",90,0.28026637534506,"IL"
"Path418","IL vs H",78,0.359317338329571,"H"
"Path419","IL vs H",108,0.0402301460241255,"IL"
"Path420","IL vs H",90,0.288030145413474,"IL"
"Path421","IL vs H",64,0.670659532955939,"H"
"Path422","IL vs H",84,0.166224591128354,"H"
"Path423","IL vs H",78,0.359317338329571,"H"
"Path424","IL vs H",0,3.38156067957849e-05,"H"
"Path425","IL vs H",61,0.485817671022751,"H"
"Path426","IL vs H",56,0.303540922686585,"H"
"Path427","IL vs H",81,0.572605200075572,"H"
"Path428","IL vs H",67,0.798745338656498,"H"
"Path429","IL vs H",95,0.105830997750621,"H"
"Path430","IL vs H",81,0.629725504001988,"IL"
"Path431","IL vs H",66,0.359317338329571,"H"
"Path432","IL vs H",93,0.241523787828809,"IL"
"Path433","IL vs H",97,0.159973019308058,"IL"
"Path434","IL vs H",58,0.442833179742589,"H"
"Path435","IL vs H",78,0.359317338329571,"H"
"Path436","IL vs H",78,0.359317338329571,"H"
"Path437","IL vs H",46,0.143167775823584,"H"
"Path438","IL vs H",29,0.0120939768267807,"H"
"Path439","IL vs H",61.5,0.373985849002745,"H"
"Path440","IL vs H",82,0.470906855460126,"H"
"Path441","IL vs H",99,0.127687899662593,"IL"
"Path442","IL vs H",99,0.127687899662593,"IL"
"Path443","IL vs H",53,0.132582982318096,"H"
"Path444","IL vs H",38,0.0419678973913979,"H"
"Path445","IL vs H",39,0.0309817230180342,"H"
"Path446","IL vs H",83,0.551167166391288,"H"
"Path447","IL vs H",32,0.020489202546007,"H"
"Path448","IL vs H",117,0.00829316060168126,"IL"
"Path449","IL vs H",78,0.359317338329571,"H"
"Path450","IL vs H",78,0.359317338329571,"H"
"Path451","IL vs H",96,0.0366874429478183,"H"
"Path452","IL vs H",78,0.359317338329571,"H"
"Path453","IL vs H",69,0.88738593483512,"H"
"Path454","IL vs H",109,0.0332414254207228,"IL"
"Path455","IL vs H",70,0.932300503373326,"H"
"Path456","IL vs H",65,0.712535075639127,"H"
"Path457","IL vs H",99,0.127687899662593,"IL"
"Path458","IL vs H",139,1.40524437199629e-05,"IL"
"Path459","IL vs H",21,0.00231643440689073,"H"
"Path460","IL vs H",126,0.00111458066768337,"IL"
"Path461","IL vs H",78,0.359317338329571,"H"
"Path462","IL vs H",84.5,0.286044781660782,"H"
"Path463","IL vs H",48,0.159064299061065,"H"
"Path464","IL vs H",84,0.38277498577742,"H"
"Path465","IL vs H",109,0.0332414254207228,"IL"
"Path466","IL vs H",78,0.359317338329571,"H"
"Path467","IL vs H",78,0.359317338329571,"H"
"Path468","IL vs H",78,0.359317338329571,"H"
"Path469","IL vs H",76,0.842835990231333,"IL"
"Path470","IL vs H",96,0.171557692950423,"IL"
"Path471","IL vs H",97,0.154043013897387,"IL"
"Path472","IL vs H",46,0.143167775823584,"H"
"Path473","IL vs H",95,0.156804259391035,"IL"
"Path474","IL vs H",95,0.156804259391035,"IL"
"Path475","IL vs H",90,0.0788056024469581,"H"
"Path476","IL vs H",91,0.291342659225281,"IL"
"Path477","IL vs H",76,0.842835990231333,"H"
"Path478","IL vs H",120,0.00451305324101124,"IL"
"Path479","IL vs H",77,0.798745338656498,"H"
"Path480","IL vs H",141,5.17721610735475e-06,"IL"
"Path481","IL vs H",50,0.218920801906399,"H"
"Path482","IL vs H",96,0.171557692950423,"IL"
"Path483","IL vs H",59,0.477575258232143,"H"
"Path484","IL vs H",38,0.0518646113611789,"H"
"Path485","IL vs H",56,0.37768531105454,"H"
"Path486","IL vs H",88,0.37768531105454,"IL"
"Path487","IL vs H",100,0.11078790926458,"IL"
"Path488","IL vs H",78,0.580669526385976,"H"
"Path489","IL vs H",84,0.166224591128354,"H"
"Path490","IL vs H",51,0.241523787828809,"H"
"Path491","IL vs H",123,0.00231643440689073,"IL"
"Path492","IL vs H",38,0.0419678973913979,"H"
"Path493","IL vs H",134,0.000102804719846044,"IL"
"Path494","IL vs H",96,0.178182027959925,"IL"
"Path495","IL vs H",48,0.171557692950423,"H"
"Path496","IL vs H",90,0.0788056024469581,"H"
"Path497","IL vs H",128,0.000656027241031952,"IL"
"Path498","IL vs H",84,0.166224591128354,"H"
"Path499","IL vs H",106,0.0518646113611789,"IL"
"Path500","IL vs H",105.5,0.023196844683544,"IL"
"Path501","IL vs H",112,0.020489202546007,"IL"
"Path502","IL vs H",25,0.00555959049699795,"H"
"Path503","IL vs H",60,0.513722581093694,"H"
"Path504","IL vs H",57.5,0.335494630828207,"H"
"Path505","IL vs H",132,0.000201171825885785,"IL"
"Path506","IL vs H",142,2.95840920420272e-06,"IL"
"Path507","IL vs H",92,0.26566958415121,"IL"
"Path508","IL vs H",92,0.26566958415121,"IL"
"Path509","IL vs H",124,0.00202792920759101,"IL"
"Path510","IL vs H",98.5,0.0484642410766325,"H"
"Path511","IL vs H",75,0.882139991144658,"IL"
"Path512","IL vs H",132,0.000201171825885785,"IL"
"Path513","IL vs H",58.5,0.247786834048584,"H"
